timestamp, index, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB], power.draw [W]
2026/09/22 13:32:59.037, 0, 99 %, 5 %, 4947 MiB, 143771 MiB, 197.79 W
2026/09/22 13:33:00.037, 0, 99 %, 5 %, 4947 MiB, 143771 MiB, 197.91 W
2026/09/22 13:33:01.037, 0, 99 %, 5 %, 4947 MiB, 143771 MiB, 198.37 W
2026/09/22 13:33:02.037, 0, 76 %, 3 %, 4947 MiB, 143771 MiB, 191.02 W
2026/09/22 13:33:03.038, 0, 99 %, 5 %, 4947 MiB, 143771 MiB, 198.45 W
2026/09/22 13:33:04.038, 0, 99 %, 4 %, 4947 MiB, 143771 MiB, 198.39 W
2026/09/22 13:33:05.038, 0, 99 %, 5 %, 4947 MiB, 143771 MiB, 197.73 W
2026/09/22 13:33:06.038, 0, 99 %, 4 %, 4947 MiB, 143771 MiB, 197.38 W
2026/09/22 13:33:07.038, 0, 99 %, 5 %, 4947 MiB, 143771 MiB, 195.79 W
2026/09/22 13:33:08.038, 0, 99 %, 5 %, 4947 MiB, 143771 MiB, 191.44 W
2026/09/22 13:33:09.038, 0, 99 %, 5 %, 4947 MiB, 143771 MiB, 196.77 W
2026/09/22 13:33:10.038, 0, 99 %, 4 %, 4947 MiB, 143771 MiB, 198.40 W
2026/09/22 13:33:11.040, 0, 99 %, 5 %, 4947 MiB, 143771 MiB, 198.15 W
2026/09/22 13:33:12.041, 0, 99 %, 5 %, 4947 MiB, 143771 MiB, 198.86 W
2026/09/22 13:33:13.041, 0, 99 %, 5 %, 4947 MiB, 143771 MiB, 191.63 W
2026/09/22 13:33:14.041, 0, 99 %, 5 %, 4947 MiB, 143771 MiB, 198.52 W
2026/09/22 13:33:15.041, 0, 99 %, 5 %, 4947 MiB, 143771 MiB, 198.73 W
2026/09/22 13:33:16.041, 0, 99 %, 5 %, 4947 MiB, 143771 MiB, 198.56 W
2026/09/22 13:33:17.041, 0, 99 %, 5 %, 4947 MiB, 143771 MiB, 198.02 W
2026/09/22 13:33:18.041, 0, 83 %, 4 %, 4947 MiB, 143771 MiB, 191.10 W
2026/09/22 13:33:19.041, 0, 99 %, 5 %, 4947 MiB, 143771 MiB, 198.05 W
2026/09/22 13:33:20.041, 0, 99 %, 5 %, 4947 MiB, 143771 MiB, 198.60 W
2026/09/22 13:33:21.041, 0, 99 %, 5 %, 4947 MiB, 143771 MiB, 197.71 W
2026/09/22 13:33:22.043, 0, 99 %, 5 %, 4947 MiB, 143771 MiB, 198.43 W
2026/09/22 13:33:23.043, 0, 83 %, 4 %, 4947 MiB, 143771 MiB, 186.37 W
2026/09/22 13:33:24.044, 0, 99 %, 5 %, 4947 MiB, 143771 MiB, 196.04 W
2026/09/22 13:33:25.045, 0, 99 %, 5 %, 4947 MiB, 143771 MiB, 200.90 W
2026/09/22 13:33:26.047, 0, 99 %, 5 %, 4947 MiB, 143771 MiB, 198.62 W
2026/09/22 13:33:27.047, 0, 99 %, 5 %, 4947 MiB, 143771 MiB, 198.93 W
2026/09/22 13:33:28.047, 0, 88 %, 4 %, 4947 MiB, 143771 MiB, 191.77 W
2026/09/22 13:33:29.047, 0, 99 %, 5 %, 4947 MiB, 143771 MiB, 199.57 W
2026/09/22 13:33:30.047, 0, 99 %, 5 %, 4947 MiB, 143771 MiB, 199.24 W
2026/09/22 13:33:31.047, 0, 99 %, 5 %, 4947 MiB, 143771 MiB, 199.09 W
2026/09/22 13:33:32.047, 0, 99 %, 5 %, 4947 MiB, 143771 MiB, 199.12 W
2026/09/22 13:33:33.047, 0, 99 %, 5 %, 4947 MiB, 143771 MiB, 196.56 W
2026/09/22 13:33:34.047, 0, 99 %, 5 %, 4947 MiB, 143771 MiB, 191.34 W
2026/09/22 13:33:35.047, 0, 99 %, 5 %, 4947 MiB, 143771 MiB, 199.30 W
2026/09/22 13:33:36.048, 0, 99 %, 5 %, 4947 MiB, 143771 MiB, 198.87 W
2026/09/22 13:33:37.048, 0, 99 %, 5 %, 4947 MiB, 143771 MiB, 199.16 W
2026/09/22 13:33:38.048, 0, 99 %, 5 %, 4947 MiB, 143771 MiB, 199.26 W
2026/09/22 13:33:39.048, 0, 99 %, 5 %, 4947 MiB, 143771 MiB, 191.72 W
2026/09/22 13:33:40.048, 0, 99 %, 5 %, 4947 MiB, 143771 MiB, 199.76 W
2026/09/22 13:33:41.048, 0, 99 %, 5 %, 5651 MiB, 143771 MiB, 199.35 W
2026/09/22 13:33:42.048, 0, 99 %, 5 %, 4947 MiB, 143771 MiB, 198.96 W
2026/09/22 13:33:43.048, 0, 99 %, 5 %, 4947 MiB, 143771 MiB, 199.05 W
2026/09/22 13:33:44.048, 0, 99 %, 5 %, 4947 MiB, 143771 MiB, 191.51 W
2026/09/22 13:33:45.048, 0, 99 %, 5 %, 4947 MiB, 143771 MiB, 199.40 W
2026/09/22 13:33:46.049, 0, 99 %, 5 %, 4947 MiB, 143771 MiB, 199.97 W
2026/09/22 13:33:47.049, 0, 99 %, 5 %, 4947 MiB, 143771 MiB, 200.24 W
2026/09/22 13:33:48.049, 0, 99 %, 5 %, 4947 MiB, 143771 MiB, 200.82 W
2026/09/22 13:33:49.049, 0, 99 %, 5 %, 4947 MiB, 143771 MiB, 191.95 W
2026/09/22 13:33:50.049, 0, 99 %, 5 %, 5651 MiB, 143771 MiB, 201.00 W
2026/09/22 13:33:51.049, 0, 99 %, 5 %, 4947 MiB, 143771 MiB, 200.63 W
2026/09/22 13:33:52.049, 0, 99 %, 5 %, 4947 MiB, 143771 MiB, 200.68 W
2026/09/22 13:33:53.049, 0, 99 %, 5 %, 4947 MiB, 143771 MiB, 200.16 W
2026/09/22 13:33:54.049, 0, 83 %, 4 %, 4947 MiB, 143771 MiB, 191.46 W
2026/09/22 13:33:55.049, 0, 99 %, 5 %, 4947 MiB, 143771 MiB, 200.68 W
