job        1211045.pbs60
date       2026-09-22T10:47:26+02:00
arch       cpu
nodes      4
ranks      768 (192 per node)
nsteps     10000
npart      120000000
gpu_aware  1
balance    part
input      /hpc/data/cfd-students/nnoventa/sparta/nicola/results/scaling/cpu_n4_balpart_s10000_1211045/in.deck
commit     b7bf6d0247ba3b5b6388134e15e88e14360bbec8
build      arch    cpu-zen4 commit  a93d3916c57c611b1ff0aea6dd1908d4951cbee7 date    2026-09-22T10:00:43+02:00 
exe        /hpc/data/cfd-students/nnoventa/sparta/install_cpu/bin/spa_kokkos_mpi_only
hosts      pn6372.cm.cluster pn6383.cm.cluster pn6391.cm.cluster pn6399.cm.cluster 

Step CPU T/CPU S/CPU Dt Np Natt Ncoll Nbound Nexit c_temp 
    7100    84.521022 2.2713348e-07    75.711154        3e-09 64050371   794268   365908        0        0    298.52968 
    7200    85.710234 2.5226806e-07    84.089362        3e-09 63865483   790212   363682        0        0    298.53343 
    7300    86.721544 2.9664465e-07    98.881547        3e-09 63682262   785746   362154        0        0    298.55363 
    7400    87.713894 3.0231332e-07     100.7711        3e-09 63501721   781287   359277        0        0    298.62198 
    7500    88.697591 3.0497138e-07    101.65714        3e-09 63321962   776552   357812        0        0    298.61548 
    7600     89.68527 3.0374241e-07    101.24747        3e-09 63144236   772707   355780        0        0    298.60006 
    7700    90.660702 3.075564e-07    102.51879        3e-09 62968200   768500   353962        0        0    298.64109 
    7800     91.63254 3.0869376e-07    102.89794        3e-09 62795574   763899   351474        0        0    298.65388 
    7900    92.599879 3.1012858e-07    103.37619        3e-09 62621914   759975   348846        0        0    298.66178 
    8000    93.569296 3.0946439e-07     103.1548        3e-09 62451779   755826   347471        0        0     298.6715 
    8100    94.531453 3.1179947e-07    103.93316        3e-09 62281259   751181   346251        0        0    298.66903 
    8200    95.488157 3.1357688e-07    104.52561        3e-09 62112023   747494   343420        0        0    298.69463 
    8300    96.628891 2.6298814e-07    87.662726        3e-09 61944068   742890   341864        0        0    298.70645 
    8400    97.602688 3.0807311e-07    102.69103        3e-09 61777018   738827   339153        0        0    298.74922 
    8500    98.551391 3.1622064e-07    105.40686        3e-09 61611352   735187   337408        0        0    298.74448 
    8600    99.524044 3.0843488e-07    102.81164        3e-09 61447482   731361   335956        0        0    298.76334 
    8700      100.473 3.1613764e-07    105.37921        3e-09 61285079   727376   334618        0        0    298.71385 
    8800    101.41444 3.1866061e-07    106.22021        3e-09 61123365   723372   332217        0        0    298.71357 
    8900    102.34978 3.2073877e-07    106.91292        3e-09 60963925   719002   329573        0        0    298.76124 
    9000    103.28113 3.2211411e-07    107.37137        3e-09 60807925   715301   327983        0        0    298.76416 
    9100    104.57516 2.3183324e-07    77.277746        3e-09 60649858   711718   325734        0        0    298.78286 
    9200    105.85229 2.3490206e-07    78.300684        3e-09 60494779   707958   324229        0        0    298.77306 
    9300    107.25512 2.1385329e-07    71.284433        3e-09 60337850   704080   323481        0        0    298.81441 
    9400    108.55198 2.3132755e-07    77.109179        3e-09 60185923   700239   320675        0        0    298.79375 
    9500    109.82027 2.3653896e-07    78.846317        3e-09 60032250   697085   319216        0        0    298.80425 
    9600    111.08506 2.3719375e-07    79.064587        3e-09 59879101   692975   317355        0        0    298.82253 
    9700    112.34762 2.3761309e-07    79.204364        3e-09 59728100   689051   315110        0        0    298.79325 
    9800    113.76435 2.1175486e-07    70.584955        3e-09 59575852   685711   314004        0        0    298.84189 
    9900    115.06419 2.3079701e-07    76.932326        3e-09 59427432   681331   311344        0        0    298.83428 
   10000    116.55606 2.0109029e-07    67.030106        3e-09 59280636   678214   310158        0        0    298.87273 
Loop time of 116.556 on 768 procs for 10000 steps with 59280636 particles
MPI task timing breakdown:
Section |  min time  |  avg time  |  max time  |%varavg| %total
---------------------------------------------------------------
Move    | 7.4587     | 23.936     | 67.01      | 257.8 | 20.54
Coll    | 1.0002     | 6.2853     | 14.776     | 190.0 |  5.39
Sort    | 1.5097     | 6.1078     | 13.441     | 158.9 |  5.24
Comm    | 4.3843     | 7.3272     | 8.7395     |  15.8 |  6.29
Modify  | 9.8082     | 25.287     | 35.515     | 171.1 | 21.70
Output  | 0.22459    | 0.4058     | 0.51848    |  15.4 |  0.35
MPI Sync| 3.6625     | 47.205     | 64.129     | 186.0 | 40.50
Other   |            | 0.001652   |            |       |  0.00

Particle moves    = 736852169527 (737B)
Particles: 77188.3 ave 140500 max 24076 min
Cells:      1125 ave 3355 max 389 min
