timestamp, index, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB], power.draw [W]
2026/09/22 14:05:45.345, 0, 93 %, 4 %, 5379 MiB, 143771 MiB, 170.41 W
2026/09/22 14:05:45.632, 0, 10 %, 0 %, 5379 MiB, 143771 MiB, 155.57 W
2026/09/22 14:05:45.899, 0, 17 %, 1 %, 5379 MiB, 143771 MiB, 149.15 W
2026/09/22 14:05:46.188, 0, 0 %, 0 %, 4811 MiB, 143771 MiB, 131.17 W
2026/09/22 14:05:46.449, 0, 27 %, 1 %, 5379 MiB, 143771 MiB, 126.86 W
2026/09/22 14:05:46.704, 0, 5 %, 0 %, 4811 MiB, 143771 MiB, 128.27 W
2026/09/22 14:05:46.955, 0, 80 %, 4 %, 4811 MiB, 143771 MiB, 140.80 W
2026/09/22 14:05:47.205, 0, 99 %, 4 %, 4811 MiB, 143771 MiB, 160.30 W
2026/09/22 14:05:47.456, 0, 99 %, 5 %, 4811 MiB, 143771 MiB, 171.86 W
2026/09/22 14:05:47.706, 0, 99 %, 4 %, 4811 MiB, 143771 MiB, 185.43 W
2026/09/22 14:05:47.956, 0, 81 %, 4 %, 4811 MiB, 143771 MiB, 180.53 W
2026/09/22 14:05:48.206, 0, 57 %, 3 %, 4811 MiB, 143771 MiB, 179.59 W
2026/09/22 14:05:48.456, 0, 99 %, 5 %, 4811 MiB, 143771 MiB, 179.18 W
2026/09/22 14:05:48.707, 0, 99 %, 5 %, 4811 MiB, 143771 MiB, 181.09 W
2026/09/22 14:05:48.957, 0, 99 %, 4 %, 4811 MiB, 143771 MiB, 186.61 W
2026/09/22 14:05:49.207, 0, 99 %, 5 %, 4811 MiB, 143771 MiB, 189.63 W
2026/09/22 14:05:49.457, 0, 99 %, 5 %, 4811 MiB, 143771 MiB, 188.40 W
2026/09/22 14:05:49.707, 0, 77 %, 3 %, 4811 MiB, 143771 MiB, 181.80 W
2026/09/22 14:05:49.957, 0, 99 %, 5 %, 4811 MiB, 143771 MiB, 182.55 W
2026/09/22 14:05:50.207, 0, 99 %, 5 %, 4811 MiB, 143771 MiB, 181.87 W
2026/09/22 14:05:50.457, 0, 99 %, 5 %, 4811 MiB, 143771 MiB, 182.22 W
2026/09/22 14:05:50.708, 0, 99 %, 5 %, 4811 MiB, 143771 MiB, 189.72 W
2026/09/22 14:05:50.958, 0, 99 %, 4 %, 4811 MiB, 143771 MiB, 188.71 W
2026/09/22 14:05:51.208, 0, 99 %, 4 %, 4811 MiB, 143771 MiB, 189.46 W
2026/09/22 14:05:51.458, 0, 99 %, 5 %, 4811 MiB, 143771 MiB, 189.39 W
2026/09/22 14:05:51.708, 0, 99 %, 4 %, 4811 MiB, 143771 MiB, 188.19 W
2026/09/22 14:05:51.958, 0, 99 %, 5 %, 4811 MiB, 143771 MiB, 189.94 W
2026/09/22 14:05:52.208, 0, 99 %, 5 %, 4811 MiB, 143771 MiB, 188.68 W
2026/09/22 14:05:52.458, 0, 99 %, 4 %, 4811 MiB, 143771 MiB, 189.36 W
2026/09/22 14:05:52.709, 0, 99 %, 5 %, 4811 MiB, 143771 MiB, 189.79 W
2026/09/22 14:05:52.959, 0, 99 %, 5 %, 4811 MiB, 143771 MiB, 189.06 W
2026/09/22 14:05:53.209, 0, 99 %, 4 %, 4811 MiB, 143771 MiB, 189.74 W
2026/09/22 14:05:53.459, 0, 99 %, 5 %, 4943 MiB, 143771 MiB, 190.04 W
2026/09/22 14:05:53.709, 0, 99 %, 4 %, 4943 MiB, 143771 MiB, 190.54 W
2026/09/22 14:05:53.959, 0, 99 %, 5 %, 4943 MiB, 143771 MiB, 189.68 W
2026/09/22 14:05:54.209, 0, 99 %, 5 %, 4943 MiB, 143771 MiB, 190.61 W
2026/09/22 14:05:54.459, 0, 99 %, 4 %, 4943 MiB, 143771 MiB, 189.58 W
2026/09/22 14:05:54.710, 0, 99 %, 5 %, 4943 MiB, 143771 MiB, 190.31 W
2026/09/22 14:05:54.960, 0, 99 %, 5 %, 4943 MiB, 143771 MiB, 189.82 W
