job        1211043.pbs60
date       2026-09-22T10:47:26+02:00
arch       cpu
nodes      4
ranks      768 (192 per node)
nsteps     10000
npart      120000000
gpu_aware  1
balance    deck (rcb cell)
input      /hpc/data/cfd-students/nnoventa/sparta/nicola/input/in.sparta.gpu
commit     b7bf6d0247ba3b5b6388134e15e88e14360bbec8
build      arch    cpu-zen4 commit  a93d3916c57c611b1ff0aea6dd1908d4951cbee7 date    2026-09-22T10:00:43+02:00 
exe        /hpc/data/cfd-students/nnoventa/sparta/install_cpu/bin/spa_kokkos_mpi_only
hosts      pn6334.cm.cluster pn6346.cm.cluster pn6352.cm.cluster pn6377.cm.cluster 

Step CPU T/CPU S/CPU Dt Np Natt Ncoll Nbound Nexit c_temp 
    7200    107.31757 2.5600084e-07    85.333603        3e-09 63835736   789419   363400        0        0     298.5759 
    7300    108.47762 2.5860914e-07    86.203074        3e-09 63649946   784850   361749        0        0    298.56509 
    7400    109.63425  2.59374e-07    86.457999        3e-09 63471545   781102   359851        0        0    298.63079 
    7500    110.77849 2.6218321e-07    87.394399        3e-09 63292983   776360   357918        0        0    298.66534 
    7600    112.08583 2.2947362e-07    76.491198        3e-09 63111747   771849   356051        0        0    298.63748 
    7700     113.2213 2.6420719e-07    88.069082        3e-09 62936202   768227   353281        0        0    298.70533 
    7800    114.36186 2.6302935e-07    87.676425        3e-09 62763635   763302   351155        0        0    298.68436 
    7900    115.49328 2.6515386e-07    88.384634        3e-09 62591691   759071   348472        0        0    298.70026 
    8000    116.61893 2.6651143e-07    88.837137        3e-09 62421863   755430   347775        0        0    298.72824 
    8100    117.75203 2.6476209e-07    88.254029        3e-09 62252584   751109   345542        0        0    298.70225 
    8200    118.87172 2.679314e-07     89.31046        3e-09 62083090   746620   342992        0        0    298.70258 
    8300    120.26111 2.1592089e-07    71.973626        3e-09 61919127   742842   341354        0        0    298.73252 
    8400    121.57287 2.2870189e-07    76.233971        3e-09 61751890   738620   339788        0        0    298.78727 
    8500    122.68035 2.7088396e-07    90.294656        3e-09 61588755   735327   338071        0        0    298.80409 
    8600    123.78424 2.7176633e-07    90.588774        3e-09 61425600   730308   335258        0        0    298.83259 
    8700    124.90545 2.6756836e-07    89.189444        3e-09 61262870   726718   333248        0        0    298.81302 
    8800    125.99983 2.7412772e-07    91.375924        3e-09 61100898   722821   332655        0        0     298.8057 
    8900    127.09199 2.7468568e-07    91.561882        3e-09 60941306   718562   329309        0        0     298.8129 
    9000    128.26448 2.5586591e-07    85.288647        3e-09 60783787   714911   328001        0        0    298.80516 
    9100    129.78371 1.9746814e-07    65.822718        3e-09 60625231   711088   327051        0        0    298.80735 
    9200    131.28214 2.0020996e-07    66.736652        3e-09 60472200   707091   324532        0        0    298.86823 
    9300    132.77768 2.0059619e-07    66.865396        3e-09 60318276   703360   322534        0        0    298.81483 
    9400    134.26508 2.0169363e-07    67.231218        3e-09 60164031   700042   321432        0        0    298.83064 
    9500     135.7486 2.0222137e-07    67.407115        3e-09 60014235   696357   318873        0        0    298.82189 
    9600    137.24632 2.0030453e-07    66.768177        3e-09 59863621   692314   316908        0        0    298.83527 
    9700    138.72654 2.0267306e-07    67.557677        3e-09 59711974   688752   315550        0        0     298.8173 
    9800    140.28968 1.9192186e-07    63.973961        3e-09 59563402   685064   313777        0        0    298.86697 
    9900    141.94872 1.8082689e-07    60.275628        3e-09 59417764   681426   312571        0        0     298.9235 
   10000    143.45085 1.9971721e-07    66.572406        3e-09 59268948   677685   310455        0        0    298.95136 
Loop time of 143.451 on 768 procs for 10000 steps with 59268948 particles
MPI task timing breakdown:
Section |  min time  |  avg time  |  max time  |%varavg| %total
---------------------------------------------------------------
Move    | 0.10401    | 22.469     | 84.473     | 370.7 | 15.66
Coll    | 0.081391   | 4.8577     | 15.199     | 177.2 |  3.39
Sort    | 0.0065156  | 4.1135     | 9.8195     | 140.3 |  2.87
Comm    | 5.6156     | 7.0139     | 9.0019     |  22.5 |  4.89
Modify  | 18.764     | 34.227     | 43.013     | 111.0 | 23.86
Output  | 0.17043    | 0.35368    | 0.45783    |  13.2 |  0.25
MPI Sync| 8.7671     | 70.414     | 94.201     | 210.5 | 49.09
Other   |            | 0.00154    |            |       |  0.00

Particle moves    = 736659169427 (737B)
Particles: 77173.1 ave 195027 max 0 min
Cells:      1125 ave 1125 max 1125 min
