timestamp, index, utilization.gpu [%], memory.used [MiB], power.draw [W]
2026/09/23 11:21:08.816, 1, 88 %, 1739 MiB, 126.95 W
2026/09/23 11:21:08.817, 2, 89 %, 1899 MiB, 128.82 W
2026/09/23 11:21:08.818, 3, 94 %, 1901 MiB, 121.08 W
2026/09/23 11:21:18.823, 0, 92 %, 1739 MiB, 141.51 W
2026/09/23 11:21:18.824, 1, 89 %, 1739 MiB, 134.49 W
2026/09/23 11:21:18.825, 2, 90 %, 1739 MiB, 138.41 W
2026/09/23 11:21:18.826, 3, 95 %, 1741 MiB, 138.52 W
2026/09/23 11:21:28.829, 0, 91 %, 1739 MiB, 140.55 W
2026/09/23 11:21:28.830, 1, 89 %, 1739 MiB, 134.97 W
2026/09/23 11:21:28.831, 2, 90 %, 1739 MiB, 137.92 W
2026/09/23 11:21:28.832, 3, 95 %, 1741 MiB, 138.62 W
2026/09/23 11:21:38.835, 0, 59 %, 1737 MiB, 131.95 W
2026/09/23 11:21:38.836, 1, 40 %, 1739 MiB, 125.50 W
2026/09/23 11:21:38.837, 2, 67 %, 1739 MiB, 129.22 W
2026/09/23 11:21:38.838, 3, 36 %, 1739 MiB, 132.43 W
2026/09/23 11:21:48.840, 0, 91 %, 1895 MiB, 133.00 W
2026/09/23 11:21:48.841, 1, 87 %, 1899 MiB, 120.28 W
2026/09/23 11:21:48.843, 2, 90 %, 1899 MiB, 120.76 W
2026/09/23 11:21:48.844, 3, 94 %, 1739 MiB, 122.53 W
2026/09/23 11:21:58.846, 0, 92 %, 1739 MiB, 135.81 W
2026/09/23 11:21:58.848, 1, 88 %, 1739 MiB, 129.27 W
2026/09/23 11:21:58.849, 2, 89 %, 1739 MiB, 133.57 W
2026/09/23 11:21:58.850, 3, 94 %, 1741 MiB, 135.72 W
2026/09/23 11:22:08.852, 0, 91 %, 1739 MiB, 81.24 W
2026/09/23 11:22:08.853, 1, 68 %, 1739 MiB, 75.80 W
2026/09/23 11:22:08.854, 2, 89 %, 1739 MiB, 77.46 W
2026/09/23 11:22:08.855, 3, 75 %, 1741 MiB, 77.36 W
2026/09/23 11:22:18.858, 0, 92 %, 1895 MiB, 132.52 W
2026/09/23 11:22:18.859, 1, 87 %, 1899 MiB, 117.94 W
2026/09/23 11:22:18.860, 2, 90 %, 1899 MiB, 118.82 W
2026/09/23 11:22:18.861, 3, 94 %, 1739 MiB, 119.15 W
2026/09/23 11:22:28.864, 0, 92 %, 1737 MiB, 137.74 W
2026/09/23 11:22:28.865, 1, 86 %, 1739 MiB, 127.91 W
2026/09/23 11:22:28.866, 2, 89 %, 1899 MiB, 127.46 W
2026/09/23 11:22:28.867, 3, 94 %, 1899 MiB, 125.84 W
2026/09/23 11:22:38.870, 0, 92 %, 1737 MiB, 133.00 W
2026/09/23 11:22:38.871, 1, 87 %, 1739 MiB, 125.42 W
2026/09/23 11:22:38.872, 2, 89 %, 1739 MiB, 130.27 W
2026/09/23 11:22:38.873, 3, 94 %, 1739 MiB, 134.36 W
2026/09/23 11:22:48.876, 0, 73 %, 1739 MiB, 136.29 W
2026/09/23 11:22:48.877, 1, 57 %, 1739 MiB, 123.57 W
2026/09/23 11:22:48.878, 2, 88 %, 1899 MiB, 122.13 W
2026/09/23 11:22:48.879, 3, 93 %, 1901 MiB, 124.39 W
2026/09/23 11:22:58.882, 0, 91 %, 1739 MiB, 136.78 W
2026/09/23 11:22:58.883, 1, 87 %, 1739 MiB, 126.47 W
2026/09/23 11:22:58.884, 2, 89 %, 1739 MiB, 129.39 W
2026/09/23 11:22:58.885, 3, 93 %, 1901 MiB, 128.17 W
2026/09/23 11:23:08.888, 0, 91 %, 1737 MiB, 141.12 W
2026/09/23 11:23:08.889, 1, 88 %, 1739 MiB, 123.57 W
2026/09/23 11:23:08.890, 2, 89 %, 1739 MiB, 126.00 W
2026/09/23 11:23:08.891, 3, 94 %, 1739 MiB, 124.39 W
2026/09/23 11:23:18.893, 0, 91 %, 1737 MiB, 135.72 W
2026/09/23 11:23:18.895, 1, 87 %, 1739 MiB, 126.38 W
2026/09/23 11:23:18.896, 2, 75 %, 1899 MiB, 124.55 W
2026/09/23 11:23:18.897, 3, 93 %, 1899 MiB, 125.27 W
2026/09/23 11:23:28.900, 0, 92 %, 1739 MiB, 132.52 W
2026/09/23 11:23:28.901, 1, 87 %, 1739 MiB, 124.54 W
2026/09/23 11:23:28.902, 2, 89 %, 1739 MiB, 129.79 W
2026/09/23 11:23:28.903, 3, 94 %, 1741 MiB, 132.91 W
2026/09/23 11:23:38.905, 0, 91 %, 1739 MiB, 133.88 W
2026/09/23 11:23:38.906, 1, 87 %, 1739 MiB, 127.83 W
2026/09/23 11:23:38.907, 2, 89 %, 1739 MiB, 131.64 W
2026/09/23 11:23:38.908, 3, 94 %, 1741 MiB, 135.24 W
2026/09/23 11:23:48.911, 0, 91 %, 1737 MiB, 139.10 W
2026/09/23 11:23:48.912, 1, 85 %, 1739 MiB, 131.60 W
2026/09/23 11:23:48.913, 2, 61 %, 1739 MiB, 134.93 W
2026/09/23 11:23:48.914, 3, 80 %, 1739 MiB, 136.11 W
2026/09/23 11:23:58.917, 0, 91 %, 1737 MiB, 138.13 W
2026/09/23 11:23:58.918, 1, 87 %, 1739 MiB, 132.56 W
2026/09/23 11:23:58.919, 2, 89 %, 1739 MiB, 135.99 W
2026/09/23 11:23:58.920, 3, 93 %, 1739 MiB, 138.13 W
2026/09/23 11:24:08.923, 0, 91 %, 1737 MiB, 89.44 W
2026/09/23 11:24:08.924, 1, 87 %, 1739 MiB, 82.54 W
2026/09/23 11:24:08.925, 2, 89 %, 1739 MiB, 84.21 W
2026/09/23 11:24:08.926, 3, 93 %, 1739 MiB, 84.10 W
2026/09/23 11:24:18.928, 0, 90 %, 1739 MiB, 140.55 W
2026/09/23 11:24:18.929, 1, 89 %, 1739 MiB, 131.68 W
2026/09/23 11:24:18.930, 2, 90 %, 1899 MiB, 131.81 W
2026/09/23 11:24:18.932, 3, 93 %, 1901 MiB, 131.55 W
2026/09/23 11:24:28.935, 0, 92 %, 1739 MiB, 145.76 W
2026/09/23 11:24:28.936, 1, 89 %, 1739 MiB, 138.73 W
2026/09/23 11:24:28.937, 2, 90 %, 1739 MiB, 143.63 W
2026/09/23 11:24:28.939, 3, 93 %, 1741 MiB, 143.83 W
2026/09/23 11:24:38.942, 0, 91 %, 1739 MiB, 147.69 W
2026/09/23 11:24:38.943, 1, 90 %, 1739 MiB, 142.10 W
2026/09/23 11:24:38.944, 2, 90 %, 1739 MiB, 145.08 W
2026/09/23 11:24:38.945, 3, 93 %, 1741 MiB, 143.83 W
