timestamp, index, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB], power.draw [W]
2026/09/23 15:44:09.982, 0, 22 %, 0 %, 17795 MiB, 143771 MiB, 128.20 W
2026/09/23 15:44:10.232, 0, 60 %, 1 %, 17795 MiB, 143771 MiB, 132.46 W
2026/09/23 15:44:10.482, 0, 36 %, 3 %, 17795 MiB, 143771 MiB, 133.27 W
2026/09/23 15:44:10.732, 0, 33 %, 0 %, 9703 MiB, 143771 MiB, 134.19 W
2026/09/23 15:44:10.983, 0, 50 %, 1 %, 9703 MiB, 143771 MiB, 134.11 W
2026/09/23 15:44:11.233, 0, 16 %, 0 %, 9703 MiB, 143771 MiB, 129.64 W
2026/09/23 15:44:11.483, 0, 0 %, 0 %, 9703 MiB, 143771 MiB, 128.98 W
2026/09/23 15:44:11.733, 0, 0 %, 0 %, 9703 MiB, 143771 MiB, 128.31 W
2026/09/23 15:44:11.983, 0, 33 %, 1 %, 19495 MiB, 143771 MiB, 128.46 W
2026/09/23 15:44:12.233, 0, 61 %, 1 %, 19495 MiB, 143771 MiB, 134.49 W
2026/09/23 15:44:12.483, 0, 34 %, 3 %, 19495 MiB, 143771 MiB, 135.19 W
2026/09/23 15:44:12.734, 0, 33 %, 0 %, 19495 MiB, 143771 MiB, 135.90 W
2026/09/23 15:44:12.984, 0, 33 %, 0 %, 10593 MiB, 143771 MiB, 135.88 W
2026/09/23 15:44:13.234, 0, 46 %, 1 %, 10593 MiB, 143771 MiB, 130.00 W
2026/09/23 15:44:13.484, 0, 0 %, 0 %, 10593 MiB, 143771 MiB, 129.32 W
2026/09/23 15:44:13.734, 0, 0 %, 0 %, 10593 MiB, 143771 MiB, 128.32 W
2026/09/23 15:44:13.984, 0, 0 %, 0 %, 10593 MiB, 143771 MiB, 127.69 W
2026/09/23 15:44:14.234, 0, 47 %, 1 %, 21363 MiB, 143771 MiB, 132.32 W
2026/09/23 15:44:14.485, 0, 61 %, 4 %, 21363 MiB, 143771 MiB, 133.08 W
2026/09/23 15:44:14.735, 0, 33 %, 0 %, 21363 MiB, 143771 MiB, 134.08 W
2026/09/23 15:44:14.985, 0, 33 %, 0 %, 21363 MiB, 143771 MiB, 134.18 W
2026/09/23 15:44:15.235, 0, 33 %, 0 %, 11571 MiB, 143771 MiB, 131.23 W
2026/09/23 15:44:15.485, 0, 63 %, 2 %, 11571 MiB, 143771 MiB, 130.39 W
2026/09/23 15:44:15.735, 0, 0 %, 0 %, 11571 MiB, 143771 MiB, 129.28 W
2026/09/23 15:44:15.985, 0, 0 %, 0 %, 11571 MiB, 143771 MiB, 128.60 W
2026/09/23 15:44:16.236, 0, 0 %, 0 %, 11571 MiB, 143771 MiB, 127.32 W
2026/09/23 15:44:16.486, 0, 0 %, 0 %, 11571 MiB, 143771 MiB, 128.58 W
2026/09/23 15:44:16.736, 0, 54 %, 1 %, 23417 MiB, 143771 MiB, 134.08 W
2026/09/23 15:44:16.986, 0, 33 %, 0 %, 23417 MiB, 143771 MiB, 134.93 W
2026/09/23 15:44:17.236, 0, 33 %, 0 %, 23417 MiB, 143771 MiB, 135.73 W
2026/09/23 15:44:17.486, 0, 33 %, 0 %, 23417 MiB, 143771 MiB, 135.17 W
2026/09/23 15:44:17.736, 0, 41 %, 1 %, 12647 MiB, 143771 MiB, 131.16 W
2026/09/23 15:44:17.987, 0, 2 %, 0 %, 12915 MiB, 143771 MiB, 130.59 W
2026/09/23 15:44:18.237, 0, 52 %, 1 %, 12915 MiB, 143771 MiB, 131.09 W
2026/09/23 15:44:18.487, 0, 61 %, 1 %, 13127 MiB, 143771 MiB, 131.50 W
2026/09/23 15:44:18.737, 0, 14 %, 0 %, 13127 MiB, 143771 MiB, 129.95 W
2026/09/23 15:44:18.987, 0, 21 %, 0 %, 13127 MiB, 143771 MiB, 130.11 W
2026/09/23 15:44:19.237, 0, 61 %, 1 %, 13127 MiB, 143771 MiB, 130.46 W
2026/09/23 15:44:19.488, 0, 60 %, 5 %, 15145 MiB, 143771 MiB, 139.15 W
2026/09/23 15:44:19.738, 0, 93 %, 3 %, 15149 MiB, 143771 MiB, 149.84 W
2026/09/23 15:44:19.988, 0, 100 %, 5 %, 15149 MiB, 143771 MiB, 165.54 W
2026/09/23 15:44:20.238, 0, 99 %, 6 %, 15451 MiB, 143771 MiB, 177.54 W
2026/09/23 15:44:20.488, 0, 100 %, 5 %, 15451 MiB, 143771 MiB, 184.51 W
2026/09/23 15:44:20.738, 0, 99 %, 5 %, 15451 MiB, 143771 MiB, 186.10 W
2026/09/23 15:44:20.988, 0, 100 %, 5 %, 15451 MiB, 143771 MiB, 187.49 W
2026/09/23 15:44:21.238, 0, 100 %, 3 %, 15451 MiB, 143771 MiB, 185.12 W
2026/09/23 15:44:21.489, 0, 100 %, 5 %, 15451 MiB, 143771 MiB, 187.87 W
2026/09/23 15:44:21.739, 0, 100 %, 5 %, 15451 MiB, 143771 MiB, 187.46 W
2026/09/23 15:44:21.989, 0, 100 %, 5 %, 15451 MiB, 143771 MiB, 188.34 W
2026/09/23 15:44:22.239, 0, 100 %, 5 %, 15451 MiB, 143771 MiB, 188.71 W
2026/09/23 15:44:22.489, 0, 100 %, 5 %, 15451 MiB, 143771 MiB, 187.90 W
2026/09/23 15:44:22.739, 0, 100 %, 5 %, 15451 MiB, 143771 MiB, 188.55 W
2026/09/23 15:44:22.989, 0, 100 %, 5 %, 15451 MiB, 143771 MiB, 191.50 W
2026/09/23 15:44:23.239, 0, 100 %, 4 %, 15451 MiB, 143771 MiB, 191.06 W
2026/09/23 15:44:23.489, 0, 100 %, 4 %, 15451 MiB, 143771 MiB, 192.27 W
2026/09/23 15:44:23.739, 0, 100 %, 5 %, 15451 MiB, 143771 MiB, 192.69 W
2026/09/23 15:44:23.990, 0, 100 %, 5 %, 15451 MiB, 143771 MiB, 191.13 W
2026/09/23 15:44:24.240, 0, 100 %, 5 %, 15451 MiB, 143771 MiB, 191.52 W
2026/09/23 15:44:24.490, 0, 100 %, 5 %, 15451 MiB, 143771 MiB, 192.58 W
2026/09/23 15:44:24.740, 0, 100 %, 5 %, 15451 MiB, 143771 MiB, 190.33 W
2026/09/23 15:44:24.990, 0, 100 %, 5 %, 15451 MiB, 143771 MiB, 192.06 W
2026/09/23 15:44:25.240, 0, 100 %, 5 %, 15451 MiB, 143771 MiB, 192.09 W
2026/09/23 15:44:25.490, 0, 100 %, 5 %, 15451 MiB, 143771 MiB, 192.20 W
2026/09/23 15:44:25.740, 0, 100 %, 3 %, 15451 MiB, 143771 MiB, 192.66 W
2026/09/23 15:44:25.990, 0, 100 %, 5 %, 15451 MiB, 143771 MiB, 191.33 W
2026/09/23 15:44:26.241, 0, 100 %, 5 %, 15451 MiB, 143771 MiB, 191.71 W
2026/09/23 15:44:26.491, 0, 100 %, 5 %, 15451 MiB, 143771 MiB, 194.70 W
2026/09/23 15:44:26.741, 0, 100 %, 5 %, 15451 MiB, 143771 MiB, 194.38 W
2026/09/23 15:44:26.991, 0, 100 %, 5 %, 15451 MiB, 143771 MiB, 193.54 W
2026/09/23 15:44:27.241, 0, 100 %, 5 %, 15451 MiB, 143771 MiB, 194.00 W
2026/09/23 15:44:27.491, 0, 99 %, 5 %, 15451 MiB, 143771 MiB, 194.07 W
2026/09/23 15:44:27.741, 0, 100 %, 5 %, 15451 MiB, 143771 MiB, 192.76 W
2026/09/23 15:44:27.991, 0, 100 %, 5 %, 15451 MiB, 143771 MiB, 193.30 W
2026/09/23 15:44:28.241, 0, 100 %, 3 %, 15451 MiB, 143771 MiB, 195.30 W
2026/09/23 15:44:28.491, 0, 100 %, 5 %, 15451 MiB, 143771 MiB, 194.55 W
2026/09/23 15:44:28.742, 0, 100 %, 5 %, 15451 MiB, 143771 MiB, 194.71 W
2026/09/23 15:44:28.992, 0, 100 %, 5 %, 15451 MiB, 143771 MiB, 195.02 W
2026/09/23 15:44:29.242, 0, 100 %, 5 %, 15451 MiB, 143771 MiB, 193.21 W
2026/09/23 15:44:29.492, 0, 100 %, 5 %, 15451 MiB, 143771 MiB, 193.06 W
2026/09/23 15:44:29.742, 0, 100 %, 5 %, 15451 MiB, 143771 MiB, 195.23 W
2026/09/23 15:44:29.992, 0, 100 %, 5 %, 15451 MiB, 143771 MiB, 195.03 W
2026/09/23 15:44:30.242, 0, 100 %, 5 %, 15451 MiB, 143771 MiB, 196.37 W
2026/09/23 15:44:30.492, 0, 100 %, 5 %, 15451 MiB, 143771 MiB, 196.21 W
2026/09/23 15:44:30.742, 0, 100 %, 5 %, 15451 MiB, 143771 MiB, 193.36 W
2026/09/23 15:44:30.992, 0, 100 %, 3 %, 15451 MiB, 143771 MiB, 193.61 W
2026/09/23 15:44:31.243, 0, 100 %, 5 %, 15451 MiB, 143771 MiB, 196.86 W
2026/09/23 15:44:31.493, 0, 100 %, 5 %, 15451 MiB, 143771 MiB, 197.42 W
2026/09/23 15:44:31.743, 0, 100 %, 5 %, 15451 MiB, 143771 MiB, 198.55 W
2026/09/23 15:44:31.993, 0, 99 %, 5 %, 15451 MiB, 143771 MiB, 198.19 W
2026/09/23 15:44:32.243, 0, 100 %, 5 %, 15451 MiB, 143771 MiB, 195.01 W
2026/09/23 15:44:32.493, 0, 100 %, 5 %, 15451 MiB, 143771 MiB, 196.22 W
2026/09/23 15:44:32.743, 0, 100 %, 5 %, 15451 MiB, 143771 MiB, 197.44 W
2026/09/23 15:44:32.993, 0, 100 %, 5 %, 15451 MiB, 143771 MiB, 196.85 W
2026/09/23 15:44:33.243, 0, 100 %, 5 %, 15451 MiB, 143771 MiB, 197.62 W
2026/09/23 15:44:33.493, 0, 100 %, 5 %, 15451 MiB, 143771 MiB, 197.56 W
2026/09/23 15:44:33.744, 0, 100 %, 4 %, 15451 MiB, 143771 MiB, 198.27 W
2026/09/23 15:44:33.994, 0, 100 %, 4 %, 15451 MiB, 143771 MiB, 195.97 W
2026/09/23 15:44:34.244, 0, 100 %, 5 %, 15451 MiB, 143771 MiB, 197.24 W
2026/09/23 15:44:34.494, 0, 100 %, 5 %, 15451 MiB, 143771 MiB, 198.46 W
2026/09/23 15:44:34.744, 0, 100 %, 5 %, 15451 MiB, 143771 MiB, 196.92 W
2026/09/23 15:44:34.994, 0, 100 %, 5 %, 15451 MiB, 143771 MiB, 196.99 W
2026/09/23 15:44:35.244, 0, 100 %, 5 %, 15451 MiB, 143771 MiB, 198.19 W
2026/09/23 15:44:35.494, 0, 100 %, 5 %, 15451 MiB, 143771 MiB, 196.31 W
2026/09/23 15:44:35.744, 0, 100 %, 5 %, 15451 MiB, 143771 MiB, 196.50 W
2026/09/23 15:44:35.994, 0, 100 %, 5 %, 15451 MiB, 143771 MiB, 199.30 W
2026/09/23 15:44:36.245, 0, 100 %, 5 %, 15451 MiB, 143771 MiB, 198.71 W
2026/09/23 15:44:36.495, 0, 100 %, 5 %, 15451 MiB, 143771 MiB, 198.37 W
2026/09/23 15:44:36.745, 0, 100 %, 3 %, 15451 MiB, 143771 MiB, 198.80 W
2026/09/23 15:44:36.995, 0, 100 %, 5 %, 15451 MiB, 143771 MiB, 196.42 W
2026/09/23 15:44:37.245, 0, 100 %, 5 %, 15451 MiB, 143771 MiB, 196.59 W
2026/09/23 15:44:37.495, 0, 100 %, 5 %, 15451 MiB, 143771 MiB, 199.76 W
2026/09/23 15:44:37.745, 0, 99 %, 5 %, 15451 MiB, 143771 MiB, 199.21 W
2026/09/23 15:44:37.995, 0, 100 %, 5 %, 15451 MiB, 143771 MiB, 199.37 W
2026/09/23 15:44:38.245, 0, 100 %, 5 %, 15451 MiB, 143771 MiB, 200.23 W
2026/09/23 15:44:38.495, 0, 100 %, 5 %, 15451 MiB, 143771 MiB, 198.23 W
2026/09/23 15:44:38.746, 0, 100 %, 5 %, 15451 MiB, 143771 MiB, 197.37 W
2026/09/23 15:44:38.996, 0, 100 %, 5 %, 15451 MiB, 143771 MiB, 199.93 W
2026/09/23 15:44:39.246, 0, 100 %, 5 %, 15451 MiB, 143771 MiB, 199.24 W
2026/09/23 15:44:39.496, 0, 100 %, 5 %, 15451 MiB, 143771 MiB, 199.47 W
2026/09/23 15:44:39.746, 0, 100 %, 5 %, 15451 MiB, 143771 MiB, 200.31 W
2026/09/23 15:44:39.996, 0, 100 %, 3 %, 15451 MiB, 143771 MiB, 198.87 W
2026/09/23 15:44:40.246, 0, 100 %, 5 %, 15451 MiB, 143771 MiB, 197.21 W
2026/09/23 15:44:40.496, 0, 100 %, 5 %, 15451 MiB, 143771 MiB, 199.59 W
2026/09/23 15:44:40.746, 0, 100 %, 5 %, 15451 MiB, 143771 MiB, 199.26 W
2026/09/23 15:44:40.996, 0, 100 %, 5 %, 15451 MiB, 143771 MiB, 199.91 W
2026/09/23 15:44:41.247, 0, 100 %, 5 %, 15451 MiB, 143771 MiB, 193.15 W
2026/09/23 15:44:41.497, 0, 81 %, 4 %, 15451 MiB, 143771 MiB, 178.12 W
2026/09/23 15:44:41.747, 0, 73 %, 3 %, 15451 MiB, 143771 MiB, 168.94 W
2026/09/23 15:44:41.997, 0, 100 %, 5 %, 15451 MiB, 143771 MiB, 169.04 W
2026/09/23 15:44:42.247, 0, 100 %, 5 %, 15451 MiB, 143771 MiB, 178.19 W
2026/09/23 15:44:42.497, 0, 100 %, 5 %, 15451 MiB, 143771 MiB, 190.72 W
2026/09/23 15:44:42.747, 0, 100 %, 4 %, 15451 MiB, 143771 MiB, 198.28 W
2026/09/23 15:44:42.997, 0, 100 %, 5 %, 15451 MiB, 143771 MiB, 198.55 W
2026/09/23 15:44:43.247, 0, 100 %, 5 %, 15451 MiB, 143771 MiB, 198.12 W
2026/09/23 15:44:43.498, 0, 100 %, 5 %, 15451 MiB, 143771 MiB, 197.57 W
2026/09/23 15:44:43.748, 0, 100 %, 5 %, 15451 MiB, 143771 MiB, 201.18 W
2026/09/23 15:44:43.998, 0, 100 %, 5 %, 15451 MiB, 143771 MiB, 200.99 W
2026/09/23 15:44:44.248, 0, 100 %, 5 %, 15451 MiB, 143771 MiB, 200.60 W
2026/09/23 15:44:44.498, 0, 100 %, 5 %, 15451 MiB, 143771 MiB, 198.16 W
2026/09/23 15:44:44.748, 0, 100 %, 5 %, 15451 MiB, 143771 MiB, 200.98 W
2026/09/23 15:44:44.998, 0, 100 %, 5 %, 15451 MiB, 143771 MiB, 200.40 W
2026/09/23 15:44:45.248, 0, 100 %, 5 %, 15451 MiB, 143771 MiB, 200.47 W
2026/09/23 15:44:45.498, 0, 100 %, 5 %, 15451 MiB, 143771 MiB, 200.81 W
2026/09/23 15:44:45.748, 0, 100 %, 5 %, 17271 MiB, 143771 MiB, 198.39 W
2026/09/23 15:44:45.999, 0, 100 %, 4 %, 15451 MiB, 143771 MiB, 198.77 W
2026/09/23 15:44:46.249, 0, 100 %, 5 %, 15451 MiB, 143771 MiB, 200.26 W
2026/09/23 15:44:46.499, 0, 100 %, 5 %, 15451 MiB, 143771 MiB, 200.49 W
2026/09/23 15:44:46.749, 0, 100 %, 5 %, 15451 MiB, 143771 MiB, 200.51 W
2026/09/23 15:44:46.999, 0, 100 %, 5 %, 15451 MiB, 143771 MiB, 201.04 W
2026/09/23 15:44:47.250, 0, 100 %, 5 %, 15451 MiB, 143771 MiB, 201.00 W
2026/09/23 15:44:47.500, 0, 100 %, 5 %, 15451 MiB, 143771 MiB, 199.95 W
2026/09/23 15:44:47.750, 0, 100 %, 5 %, 15451 MiB, 143771 MiB, 201.86 W
2026/09/23 15:44:48.000, 0, 100 %, 5 %, 15451 MiB, 143771 MiB, 201.28 W
2026/09/23 15:44:48.250, 0, 100 %, 5 %, 15451 MiB, 143771 MiB, 201.20 W
2026/09/23 15:44:48.500, 0, 100 %, 5 %, 17271 MiB, 143771 MiB, 201.71 W
2026/09/23 15:44:48.750, 0, 100 %, 5 %, 15451 MiB, 143771 MiB, 201.08 W
2026/09/23 15:44:49.000, 0, 100 %, 5 %, 15451 MiB, 143771 MiB, 200.71 W
2026/09/23 15:44:49.251, 0, 100 %, 5 %, 15451 MiB, 143771 MiB, 200.92 W
2026/09/23 15:44:49.501, 0, 100 %, 4 %, 15451 MiB, 143771 MiB, 201.23 W
2026/09/23 15:44:49.751, 0, 100 %, 4 %, 15451 MiB, 143771 MiB, 202.01 W
2026/09/23 15:44:50.001, 0, 100 %, 5 %, 15451 MiB, 143771 MiB, 200.55 W
2026/09/23 15:44:50.251, 0, 100 %, 5 %, 15451 MiB, 143771 MiB, 199.29 W
2026/09/23 15:44:50.501, 0, 100 %, 5 %, 15451 MiB, 143771 MiB, 201.48 W
2026/09/23 15:44:50.751, 0, 100 %, 5 %, 15451 MiB, 143771 MiB, 201.86 W
2026/09/23 15:44:51.001, 0, 100 %, 5 %, 15451 MiB, 143771 MiB, 201.16 W
2026/09/23 15:44:51.251, 0, 100 %, 5 %, 15451 MiB, 143771 MiB, 201.83 W
2026/09/23 15:44:51.501, 0, 100 %, 5 %, 15451 MiB, 143771 MiB, 201.00 W
2026/09/23 15:44:51.751, 0, 100 %, 5 %, 15451 MiB, 143771 MiB, 199.75 W
2026/09/23 15:44:52.002, 0, 100 %, 5 %, 15451 MiB, 143771 MiB, 202.65 W
2026/09/23 15:44:52.252, 0, 100 %, 5 %, 15451 MiB, 143771 MiB, 202.26 W
2026/09/23 15:44:52.502, 0, 100 %, 5 %, 15451 MiB, 143771 MiB, 202.09 W
2026/09/23 15:44:52.752, 0, 100 %, 5 %, 15451 MiB, 143771 MiB, 200.76 W
2026/09/23 15:44:53.002, 0, 100 %, 5 %, 15451 MiB, 143771 MiB, 202.15 W
2026/09/23 15:44:53.252, 0, 100 %, 5 %, 15451 MiB, 143771 MiB, 201.08 W
2026/09/23 15:44:53.502, 0, 100 %, 3 %, 15451 MiB, 143771 MiB, 201.60 W
2026/09/23 15:44:53.752, 0, 100 %, 5 %, 15451 MiB, 143771 MiB, 200.30 W
2026/09/23 15:44:54.002, 0, 100 %, 5 %, 15451 MiB, 143771 MiB, 198.29 W
2026/09/23 15:44:54.253, 0, 100 %, 5 %, 15451 MiB, 143771 MiB, 198.83 W
2026/09/23 15:44:54.503, 0, 100 %, 5 %, 15451 MiB, 143771 MiB, 200.80 W
